Count,Name,Edition Code,Scryfall ID
1,Shadowborn Apostle,SLD,2e92d596-679f-4340-990d-29ae7900b5c8
1,The Great Henge,ELD,ff7e30c8-b3fc-430f-ac63-d376d9e47a8d
1,Vampiric Tutor,CMR,9e1b4cec-68e0-4259-9be5-565d927017d9
1,The Ozolith,IKO,ed3b5f52-ce33-4e67-aca0-6d417fe7f5fa
1,"Cloud, Midgar Mercenary",fin,5d8690ec-fded-4801-8eaf-5e5fe3d444ec
1,"Illuna, Apex of Wishes",IKO,bfb1fba6-8eb3-4338-9249-cec888c892dc
1,The Great Henge,ELD,af915ed2-1f34-43f6-85f5-2430325b720f
1,"Azusa, Lost but Seeking",SLD,4e5fa88e-1ba5-4166-a7c3-cead597c65b8
1,Rhystic Study,SLD,c9a85474-e0e5-40cf-b0a3-a2b7da7f7000
1,"Arahbo, Roar of the World",SLD,eda28572-654e-4d43-b88c-cf8c8b0f5eb5
1,The Ur-Dragon,SLD,ea949741-af94-47ae-a577-2953c69ab71d
1,Teysa Karlov,SLD,4a80fbb2-4b3a-46fc-b105-09e512bc414a
1,Deflecting Swat,C20,84f035e1-6c89-457b-b05f-85680a50ed91
1,Teferi's Protection,STA,28e21c8c-5ad1-4830-8621-f0fd6500ca79
1,Glen Elendra Archmage,SLD,6f9c1419-aa54-4dd3-8d7d-4e2f60e7f581
1,Sliver Legion,SLD,98a229f0-3cca-4c2a-8cb5-064040eece72
1,"Boseiju, Who Endures",NEO,2488a80b-6882-4b59-8232-f02f800204a9
1,The Ozolith,IKO,9341ed06-53db-4604-b60a-3ea9129afbc2
1,Sliver Overlord,SLD,6fad8ca2-032d-40ee-b3d6-29ab2b59ba86
1,"Rick, Steadfast Leader",SLD,0a8e78b3-3232-4d48-9d6c-540951a0330e
1,Sliver Legion,SLD,feef6ea3-67f3-42d8-bf19-02ba9151c2a3
1,"Vorinclex, Monstrous Raider",KHM,f6db03ef-db89-43c4-89b4-d48e0620e101
1,Sword of Truth and Justice,MH1,2be8d24e-1370-4e85-90f2-66b6d6e9c4a4
1,The Ozolith,IKO,9341ed06-53db-4604-b60a-3ea9129afbc2
1,Carrion Feeder,SLD,c0e175cb-ffea-473f-8422-53273f263016
1,Skullclamp,SLD,3668996e-659d-413b-84e6-9f3099518d7f
1,Esper Sentinel,MH2,f3537373-ef54-4578-9d05-6216420ee349
1,Luminous Broodmoth,IKO,4d393cc4-0e6b-44fe-a74a-822c52678ec9
1,Exquisite Blood,SLD,a83dad59-27a4-4dbb-bec8-f0683d6e2a67
1,Field of the Dead,M20,470ca3f4-29aa-4c4c-8ff2-8cdd70c69943
1,Fierce Guardianship,C20,4c5ffa83-c88d-4f5d-851e-a642b229d596
1,Sakashima of a Thousand Faces,CMR,69639b23-9975-4356-ab7d-0aa3387e02c7
1,Phyrexian Tower,SLD,3097b876-ffb4-4388-beb1-d25d887593b9
1,Swords to Plowshares,SLD,68357502-cf23-4bf6-ab4e-371428e540d0
1,Tezzeret the Seeker,SLD,62835e03-49c8-42b8-91ba-3aa4beb5df66
1,Buster Sword,fin,374d7383-a1a7-4eea-91f7-290180e14cc9
1,Shadowspear,THB,939c6e19-4b27-4023-bb9c-ae440f91e21c
1,Bloom Tender,SLD,35dbe45e-16df-4ebb-a76a-df24124de23b
1,Commander's Plate,CMR,19992dbd-7a6a-43d3-b1db-01716b2eed27
3,Smothering Tithe,RNA,7af082fa-86a3-4f7b-966d-2be1f1d0c0bc
1,"Athreos, God of Passage",SLD,3380a687-c96b-4e1a-bfd9-3849d085b803
1,"Gishath, Sun's Avatar",SLD,6674c7f7-8022-4457-9a8a-6b87ff3348b0
1,"Atraxa, Praetors' Voice",SLD,7cc19f85-7ef6-4fd2-83e5-0dbae1d80f2b
1,Thoughtseize,SLD,1ecc64b6-6f2c-4b20-aa80-54cc47382606
1,Massacre Girl,SLD,ebca1926-6809-4924-a80c-f322266ac38e
1,"Nethroi, Apex of Death",IKO,b9ebe73b-29d7-4a07-b7dc-a885dad61a88
2,Prismatic Vista,MH1,e37da81e-be12-45a2-9128-376f1ad7b3e8
1,Vigor,BBD,ea7047d8-8d32-48a3-829b-7eb5427ed53a
1,Raugrin Triome,IKO,c303a627-cce3-4045-81f8-fe7427e0a941
1,Meren of Clan Nel Toth,SLD,91190972-7c9d-4a16-b7b8-0fcf3dbcebd5
1,Dryad of the Ilysian Grove,SLD,22e22287-21c5-4733-a527-b176fbf3725d
1,Sakashima the Impostor,SLD,7815c90b-f7f7-46ac-9dc1-fc3d8cfdbac5
1,Grim Tutor,SLD,3be03def-6e43-4420-8380-8f4e5cf39500
1,"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",fin,85eaf5e7-77dc-4842-a70c-ce4ac7f724df
1,"Halvar, God of Battle // Sword of the Realms",KHM,feddb683-a8f8-4def-bd3e-6d630c42cd34
1,Nature's Lore,SLD,9f9f5e0c-8bf4-46ab-ad79-332ceeaed3d5
1,Archaeomancer,SLD,552bb59c-085f-4caf-8430-ba6e2888ea6d
1,Phyrexian Metamorph,SLD,e7501a66-76f8-4f1d-8b4c-2a82b5f930c4
1,Displacer Kitten,CLB,c7a401b8-29fb-46ef-a663-427f66724d5c
1,Tymna the Weaver,CMR,cec4983f-c2ec-4bf5-9f14-e75f0a2788a6
1,Mystical Tutor,SLD,f0095386-6e4d-432f-a5ac-7407ffaf7938
2,Arcane Signet,SLD,2ac9fdee-ad50-486a-9fde-4aba6848a6c6
1,Lotus Petal,PLIST,153983dd-54dc-420d-9249-665b0d669614
1,Gamble,SLD,81e57561-17d4-48db-8e40-f41019010bc9
1,Wandering Archaic // Explore the Vastlands,STX,63bd0484-4089-4d33-aa8b-3730791061c3
1,Paradise Mantle,SLD,9cbaf50b-5491-474b-8501-8814e2629fe4
1,Steam Vents,SLD,d516b248-c0be-4c49-83ab-393354c33563
1,"Erebos, God of the Dead",SLD,ac8bdb4c-2d68-4cb4-904f-1649427751dc
1,"Mirri, Weatherlight Duelist",SLD,e856be87-6f2b-4846-87f1-53e2c1c71a16
1,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",KHM,54dccbc0-528c-4e99-a6db-f2373978fe5f
1,Land Tax,BR,4e614027-4587-476f-a5a9-87bc1a6bd30b
1,"Uro, Titan of Nature's Wrath",SLD,6f3b4542-bf78-4450-a4e0-bf757445c3c3
1,"Brokkos, Apex of Forever",IKO,4cf6ca85-0ef5-4104-b0e6-1137c4975579
1,Bone Miser,C19,a7fa6901-e74f-448c-9d26-99a692092512
1,Void Winnower,SLD,1e5ef9cd-ee4d-4cbe-a07d-89f9322e5362
1,Torment of Hailfire,HOU,f69d77d1-5980-436c-bf48-790939b069aa
1,Birds of Paradise,SLD,33a931b6-607c-4cbb-ad1e-14e2cad14947
1,"Thassa, Deep-Dwelling",THB,27b52628-de05-4ec1-9978-e998cf17bb26
1,Bloom Tender,PLIST,6c89c1fd-4717-4249-a74f-d9d4935c5753
1,Craterhoof Behemoth,SLD,640be32d-dcc8-408a-b8a6-077472f1e70b
1,Tainted Pact,STA,4c92756f-1dc2-49be-bb38-0f8cf10079fa
1,Dockside Extortionist,C19,571bc9eb-8d13-4008-86b5-2e348a326d58
1,Rejuvenating Springs,CMR,5888b82e-79e0-4b8e-9c16-07dddc2bfeff
1,Damnation,SLD,7fc1d7db-11a3-4ff9-8d27-1fe401053080
1,Traveling Chocobo,fin,2462df62-fc35-47ed-9571-40452074dc6d
